Master Government List of Federally Funded R&D Centers (FFRDCs) - March 2014,,,,,,,,,,,,,,,,,
Source: National Science Foundation/National Center for Science and Engineering Statistics,,,,,,,,,,,,,,,,,
FFRDC_Name,FFRDC_URL,Agency,Agency_URL,Agency2,Agency2_URL,Sub_Agency,Sub_Agency_URL,Sub_Agency2,Sub_Agency2_URL,Admin_Name,Admin_type,Admin_URL,Loc_Full,Loc_State,Activity,FFRDC_Note_Num,Update_Date
Aerospace Federally Funded Research and Development Center,http://www.aero.org/,Department of Defense,http://www.defenselink.mil/,,,Department of the Air Force,http://www.af.mil/,,,The Aerospace Corporation,nonprofit institutions other than universities and colleges,http://www.aero.org/,"El Segundo, CA",California,Systems engineering and integration centers,0,
Ames Laboratory,http://www.ameslab.gov/,Department of Energy,http://www.energy.gov/,,,,,,,Iowa State University of Science and Technology,"universities and colleges, including university consortia",http://www.iastate.edu/,"Ames, IA ",Iowa,Research and development laboratories,0,
Argonne National Laboratory,http://www.anl.gov/,Department of Energy,http://www.energy.gov/,,,,,,,"UChicago Argonne, LLC","universities and colleges, including university consortia",http://www.uchicago.edu/,"Argonne, IL",Illinois,Research and development laboratories,8,
Arroyo Center,http://www.rand.org/ard.html,Department of Defense,http://www.defenselink.mil/,,,Department of the Army,http://www.army.mil/,,,RAND Corp.,nonprofit institutions other than universities and colleges,http://www.rand.org/,"Santa Monica, CA",California,Study and analysis centers,1,
Brookhaven National Laboratory,http://www.bnl.gov/world/,Department of Energy,http://www.energy.gov/,,,,,,,"Brookhaven Science Associates, LLC",nonprofit institutions other than universities and colleges,http://www.bnl.gov/bnlweb/Admin/BSA.asp,"Upton, NY ",New York,Research and development laboratories,10,
National Security Engineering Center,http://www.mitre.org/about/ffrdcs/nsec.html,Department of Defense,http://www.defenselink.mil/,,,Office of the Assistant Secretary of Defense for Research and Engineering,http://www.acq.osd.mil/chieftechnologist/index.html,,,MITRE Corp.,nonprofit institutions other than universities and colleges,http://www.mitre.org/about/ffrdcs/nsec.html,"Bedford, MA, and McLean, VA ",Massachusetts,Systems engineering and integration centers,20,
National Security Engineering Center,http://www.mitre.org/about/ffrdcs/nsec.html,Department of Defense,http://www.defenselink.mil/,,,Office of the Assistant Secretary of Defense for Research and Engineering,http://www.acq.osd.mil/chieftechnologist/index.html,,,MITRE Corp.,nonprofit institutions other than universities and colleges,http://www.mitre.org/about/ffrdcs/nsec.html,"Bedford, MA, and McLean, VA ",Virginia,Systems engineering and integration centers,20,
Center for Advanced Aviation System Development,http://www.caasd.org/,Department of Transportation,http://www.dot.gov/,,,Federal Aviation Administration,http://www.faa.gov/,,,MITRE Corp.,nonprofit institutions other than universities and colleges,http://www.mitre.org/,"McLean, VA ",Virginia,Research and development laboratories,0,
Center for Enterprise Modernization,http://www.mitre.org/about/ffrdcs/cem.html,Department of the Treasury,http://www.ustreas.gov/,Department of Veterans Affairs,http://www.va.gov/,Internal Revenue Service,http://www.irs.gov/,,,MITRE Corporation,nonprofit institutions other than universities and colleges,http://www.mitre.org/,"McLean, VA ",Virginia,Systems engineering and integration centers,17,
Center for Naval Analyses,http://www.cna.org/centers/cna/,Department of Defense,http://www.defenselink.mil/,,,Department of the Navy,http://www.navy.mil/,,,The CNA Corporation,nonprofit institutions other than universities and colleges,http://www.cna.org/,"Alexandria, VA",Virginia,Study and analysis centers,0,
Center for Nuclear Waste Regulatory Analyses,http://www.swri.org/4org/d20/home/who/CNWRA.htm,Nuclear Regulatory Commission,http://www.nrc.gov/,,,,,,,Southwest Research Institute,nonprofit institutions other than universities and colleges,http://www.swri.org/,"San Antonio, TX ",Texas,Study and analysis centers,0,
Center for Communications and Computing,https://www.ida.org/aboutus/organization/centers.php ,Department of Defense,http://www.defenselink.mil/,,,National Security Agency/Central Security Service,http://www.nsa.gov/,,,Institute for Defense Analyses,nonprofit institutions other than universities and colleges,http://www.ida.org/,"Alexandria, VA ",Virginia,Research and development laboratories,0,
Centers for Medicare and Medicaid Services Federally Funded Research and Development Center,http://www.mitre.org/centers/cms-alliances-to-modernize-healthcare/who-we-are ,Department of Health and Human Services,http://www.dhhs.gov/,,,Centers for Medicare and Medicaid Services,http://www.cms.gov/,,,MITRE Corp.,nonprofit institutions other than universities and colleges,http://www.mitre.org/,"Baltimore, MD",Maryland,Study and analysis centers,24,
Fermi National Accelerator Laboratory,http://www.fnal.gov/,Department of Energy,http://www.energy.gov/,,,,,,,"Fermi Research Alliance, LLC","universities and colleges, including university consortia",http://www.ura-hq.org/,"Batavia, IL ",Illinois,Research and development laboratories,9,
Homeland Security Studies and Analysis Institute,http://www.homelandsecurity.org/,Department of Homeland Security,http://www.dhs.gov/,,,Science and Technology Directorate,http://www.dhs.gov/xabout/structure/editorial_0530.shtm,,,"Analytic Services, Inc.",nonprofit institutions other than universities and colleges,http://www.homelandsecurity.org/,"Arlington, VA ",Virginia,Study and analysis centers,14,
Homeland Security Systems Engineering and Development Institute,http://www.mitre.org/work/hs_sedi/,Department of Homeland Security,http://www.dhs.gov/,,,Science and Technology Directorate,http://www.dhs.gov/xabout/structure/editorial_0530.shtm,,,MITRE Corp.,nonprofit institutions other than universities and colleges,http://www.mitre.org/work/hs_sedi/,"McLean, VA ",Virginia,Systems engineering and integration centers,18,
Idaho National Laboratory,http://www.inl.gov/,Department of Energy,http://www.energy.gov/,,,,,,,"Battelle Energy Alliance, LLC",industrial firms,,"Idaho Falls, ID ",Idaho,Research and development laboratories,4,
Jet Propulsion Laboratory,http://www.jpl.nasa.gov/,National Aeronautics and Space Administration,http://www.nasa.gov/,,,,,,,California Institute of Technology,"universities and colleges, including university consortia",http://www.caltech.edu/,"Pasadena, CA ",California,Research and development laboratories,0,
