,,,,,,,,
,Team,Project,Category,Code,Description,License,,
,"Allure Security Technology, Inc. (publications)",Decoy Document Distributor Tool for Mac,Identity Management,anna.weeks@us.af.mil,Software for distributing deceptive content to Mac machines to serve as tripwires to aid in sensor authentication decisions.,GPR,,
,"Allure Security Technology, Inc. (publications)",Decoy Document Distributor Tool for Windows,Identity Management,anna.weeks@us.af.mil,Software for distributing deceptive content to Windows computers to serve as tripwires to aid in sensor authentication decisions.,GPR,,
,"Allure Security Technology, Inc. (publications)",RUU Active Authentication Sensor for Mac,Identity Management,anna.weeks@us.af.mil,"Software for collecting user OS interactions, generating a discriminative user model, and taking appropriate masquerader mitigation measures for Mac devices.",GPR,,
,"Allure Security Technology, Inc. (publications)",RUU Active Authentication Sensor for Windows,Identity Management,anna.weeks@us.af.mil,"Software for collecting user OS interactions, generating a discriminative user model, and taking appropriate masquerader mitigation measures for the Windows platform.",GPR,,
,BehavioSec (publications),Data-Collector-Software,Identity Management,anna.weeks@us.af.mil,Behavioral data gatherer for Microsoft Windows desktop computers.,GPR,,
,New York Institute of Technology (publications),"Keystroke, Pausality, and Linguistic Feature Extractors for Typing Data",Identity Management,anna.weeks@us.af.mil,"The software implements feature extractor modules for typing data used in AA Phase 1 effort. The code is useful only when Louisiana Tech's typing data is available. Because Louisiana Tech has the ownership of the data, we cannot provide the data.",GPR,,
,University of Maryland (publications),Screen Web Interface Visual Analysis Software,Identity Management,https://bitbucket.org/rmardiko/vizweb.git,This is software for computing visual features from screen shots. (Java),MIT,,
,Team,Project,Category,Code,Description,License,,
,BAE Systems (publications),"Droid Reasoning, Analysis, and Protection Engine (DRAPE)","Software, Dynamic Analysis, Android, Malware",Not Ready for Release,"DRAPE brings together concolic execution, taint analysis and execution path clustering to analyze Android applications. DRAPE will elicit stealthy malware that is triggered under specific conditions, and will provide the analyst with a characterization of those conditions. (Java)",,,
,"MIT (publications), Kestrel Institute (publications), GITI (publications)",DroidSafe,Infrastructure,https://github.com/mgordon/droidsafe.git,"The DroidSafe static analysis tool produces a security summary of Android applications to help trusted parties rapidly understand sensitive behaviors of a untrusted application. The core analysis is flow, object, event, and value sensitive. The results are presented in a graphic user interface tied to source code for inspection. (Java/Python)",LGPL,,
