country,org_name,,,
Argentina,gcba,,,
Australia,actesa,,,
Australia,actgov,,,
Australia,agnsw,,,
Australia,datagovau,,,
Australia,dpaw2,,,
Australia,ga-m3dv,,,
Australia,gccgisteam,,,
Australia,GeoscienceAustralia,,,
Australia,Healthway,,,
Australia,innovationgovau,,,
Australia,Landgate,,,
Australia,mcma,,,
Australia,museumvictoria,,,
Australia,nla,,,
Australia,nmalabs,,,
Australia,NSWPlanning,,,
Australia,NSWRFS,,,
Australia,qld-gov-au,,,
Australia,srep,,,
Australia,srnsw,,,
Australia,SunshineCoastCouncil,,,
Australia,wamuseum,,,
Belgium,belgianpolice,,,
Belgium,onroerenderfgoed,,,
Bolivia,geobolivia,,,
Bolivia,GovBrasil,,,
Brazil,bacendeinf,,,
Brazil,cislgov,,,
Brazil,dadosgovbr,,,
Brazil,gabinetedigital,,,
Brazil,govbr,,,
Brazil,InstitutoBenjaminConstant,,,
Brazil,interlegis,,,
Brazil,lexml,,,
Brazil,pensandoodireito,,,
Brazil,plonegovbr,,,
Brazil,pr-snas,,,
Brazil,PrefeituraParnaiba,,,
Brazil,prefeiturasp,,,
Brazil,PROCERGS,,,
Brazil,secom-tocantins,,,
Brazil,tisorocaba,,,
Brazil,wpgovbr,,,
Canada,AAFC-MBB,,,
Canada,ca-canada,,,
Canada,CIHR,,,
Canada,cityofgreatersudbury,,,
Canada,cityofottawa,,,
Canada,electionsquebec,,,
Canada,GeoCanViz,,,
Canada,GNWT,,,
Canada,HIFIS,,,
Canada,mce-scarto,,,
Canada,nrc-cnrc,,,
Canada,NRCan,,,
Canada,nsgov,,,
Canada,open-data,,,
Canada,pwgsc,,,
Canada,RAMP-PCAR,,,
Canada,RDOQ,,,
Canada,ServiceCanada,,,
Canada,thecityofcalgary,,,
Canada,VilledeMontreal,,,
Canada,wet-boew,,,
Chile,e-gob,,,
Colombia,AltaConsejeriaTIC,,,
Colombia,idu-bogota,,,
Estonia,vvk-ehk,,,
EuropeanUnion,europeana,,,
Finland,avoinministerio,,,
Finland,City-of-Helsinki,,,
Finland,HSLdevcom,,,
Finland,Lounaispaikka,,,
France,afimb,,,
France,ANSSI-FR,,,
France,communaute-cimi,,,
France,DGFiP,,,
France,erasme,,,
France,etalab,,,
France,VilleDeMontpellier,,,
Germany,gbv,,,
Germany,lobid,,,
HongKong,datagovhk,,,
India,itschool,,,
International,IATI,,,
International,ogpl,,,
International,rOpenGov,,,
IsleofMan,Isle-Of-Man-Government,,,
Italy,Formez,,,
Italy,PloneGov-IT,,,
Italy,RegioneER,,,
Latvia,CSBLatvia,,,
Mexico,CSB-IG,,,
Mexico,DDT-INMEGEN,,,
NewZealand,CanterburyRegionalCouncil,,,
